serial_number,monthly_income,employment_status,existing_loans,credit_score,loan_purpose,loan_amount_requested,debt_to_income_ratio,repayment_history,defaulted
1790,147167,Student,5,633,Education,1813089,0.1208999465987544,Poor,0
1791,134345,Self-employed,1,407,Travel,3623046,0.6310635081009578,Good,0
1792,97722,Retired,4,324,Car Loan,406908,0.539269244486223,Poor,1
1793,51260,Employed,1,488,Business,4814345,0.1874853322208087,Fair,1
1794,167424,Unemployed,8,656,Education,4021670,0.61,Fair,1
1795,138723,Retired,7,605,Home Improvement,3571831,0.2836385082092267,Good,1
1796,28244,Retired,0,648,Medical,4954593,0.7824938360925106,Good,0
1797,51450,Unemployed,6,736,Debt Consolidation,89458,0.7265596262047775,Good,0
1798,154482,Retired,10,839,Business,4019454,0.2034160219236487,Good,0
1799,28617,Employed,5,787,Debt Consolidation,2095193,0.3682909176017216,Good,0
1800,88813,Employed,2,353,Medical,4224701,0.1969863737345765,Poor,1
1801,61037,Unemployed,9,711,Business,3062908,0.5324095741659588,Fair,0
1802,106581,Student,5,764,Medical,282176,0.1774465514325878,Poor,1
1803,54111,Self-employed,5,701,Education,1213750,0.5761211380075955,Fair,1
1804,94777,Student,6,374,Travel,3091309,0.8270554380800835,Poor,1
1805,79347,Retired,0,557,Education,1799895,0.1416255636985167,Poor,1
1806,77616,Self-employed,7,850,Travel,1219515,0.7352046059277907,Poor,1
1807,54459,Unemployed,8,630,Education,911367,0.1455474329953812,Good,0
1808,64119,Unemployed,4,380,Medical,4640386,0.5933367269673809,Fair,1
1809,164696,Self-employed,3,619,Medical,3105355,0.51,Good,1
1810,174061,Employed,3,478,Medical,4140244,0.5304608072954764,Good,0
1811,24472,Self-employed,4,568,Debt Consolidation,1913052,0.7284411529552316,Poor,1
1812,177591,Retired,5,625,Medical,92698,0.7543000574694848,Fair,1
1813,79708,Employed,5,300,Education,1858857,0.6343915484998334,Fair,1
1814,22215,Unemployed,9,823,Home Improvement,2191523,0.3126313824936725,Fair,1
1815,96275,Self-employed,4,490,Medical,2055190,0.463544419911589,Fair,1
1816,30111,Student,2,591,Home Improvement,444626,0.58,Good,0
1817,67368,Student,5,601,Travel,201842,0.236834820872226,Good,1
1818,25509,Retired,1,687,Education,2203434,0.5430145788186972,Fair,0
1819,200516,Student,9,442,Medical,467379,0.0766134017028208,Good,0
1820,92858,Self-employed,0,759,Debt Consolidation,2944493,0.3816128936087597,Fair,0
1821,158126,Self-employed,1,622,Debt Consolidation,1451202,0.6955310009295546,Good,0
1822,69081,Student,7,596,Travel,1488410,0.548972859961851,Poor,0
1823,44070,Self-employed,6,376,Home Improvement,4937765,0.4887853047039506,Poor,1
1824,164352,Retired,5,484,Car Loan,1612039,0.5038749838573398,Fair,1
1825,49568,Employed,4,611,Debt Consolidation,5025754,0.1212603217676915,Fair,0
1826,65887,Retired,5,840,Debt Consolidation,4715399,0.6419857521377842,Good,1
1827,197762,Retired,4,617,Debt Consolidation,4599825,0.6365087179112213,Fair,1
1828,74650,Self-employed,2,746,Education,1822733,0.4294000573582406,Fair,0
1829,90306,Employed,1,405,Debt Consolidation,1846863,0.4781822010693833,Good,1
1830,65771,Self-employed,10,315,Business,4494362,0.5879395667529781,Fair,0
1831,24851,Unemployed,2,472,Medical,1217789,0.1345338254549525,Fair,1
1832,109849,Self-employed,2,744,Travel,3669239,0.2868304804649937,Poor,0
1833,70293,Self-employed,5,529,Debt Consolidation,1853672,0.3354758088415764,Poor,1
1834,157058,Self-employed,8,427,Car Loan,1366884,0.5892378506708718,Poor,1
1835,153020,Employed,1,490,Car Loan,2391514,0.6061757347849436,Fair,1
1836,114291,Self-employed,5,518,Debt Consolidation,1807708,0.1274082045008435,Good,1
1837,116737,Employed,7,486,Debt Consolidation,3966165,0.4977251347606446,Poor,1
1838,61154,Student,2,838,Business,2889608,0.09,Fair,1
1839,187056,Unemployed,8,416,Debt Consolidation,1801766,0.6001354309816661,Poor,1
1840,48820,Employed,7,411,Debt Consolidation,4376270,0.534742072810206,Good,0
1841,144873,Student,2,664,Medical,1006677,0.3469103008949115,Good,1
1842,126070,Employed,4,313,Car Loan,4596182,0.5432584535268695,Good,1
1843,62279,Employed,8,816,Business,1777679,0.71,Good,1
1844,53495,Unemployed,9,699,Car Loan,3429408,0.1306830219067669,Good,0
1845,88932,Retired,4,599,Business,1061228,0.8229409940724702,Good,1
1846,160212,Retired,5,623,Car Loan,902215,0.1203380314333907,Fair,1
1847,122653,Employed,0,632,Debt Consolidation,2015362,0.5835916128903376,Poor,1
1848,76879,Self-employed,9,692,Car Loan,1958046,0.2274367508437506,Good,0
1849,119788,Student,0,355,Car Loan,274402,0.749360068610309,Poor,1
1850,78351,Self-employed,3,332,Business,2673050,0.1724595225223581,Poor,1
1851,23483,Self-employed,4,433,Travel,3301365,0.5926598087852899,Fair,0
1852,105009,Employed,0,339,Home Improvement,3038939,0.23,Good,0
1853,175241,Employed,2,464,Business,3190834,0.2171247803049221,Good,1
1854,54929,Employed,2,801,Business,3976709,0.7884747931718403,Fair,0
1855,169816,Employed,5,592,Business,2891449,0.696127647880056,Fair,0
1856,143898,Retired,5,705,Education,2972523,0.7011505945409318,Fair,1
1857,111806,Employed,0,522,Travel,1790249,0.3794361458839585,Fair,0
1858,186064,Retired,5,413,Education,535920,0.6256570917799676,Fair,0
1859,137043,Retired,8,756,Education,3396987,0.4192735834971662,Poor,1
1860,47401,Employed,2,773,Business,789172,0.357909102755215,Fair,1
1861,123160,Unemployed,3,309,Home Improvement,1794152,0.1596537665356449,Good,1
1862,131615,Student,0,513,Business,788078,0.6579515816190263,Good,0
1863,149824,Self-employed,1,603,Debt Consolidation,2346189,0.4821589813519401,Fair,0
1864,182663,Retired,8,491,Home Improvement,2935130,0.7323856471567771,Fair,1
1865,31881,Student,3,412,Education,1579569,0.532230813542678,Fair,0
1866,89302,Unemployed,0,850,Car Loan,1006754,0.6123162266778288,Fair,0
1867,39351,Self-employed,0,528,Car Loan,592948,0.1563078170996475,Fair,0
1868,115494,Self-employed,1,423,Travel,3374802,0.368485973248157,Good,0
1869,114108,Retired,2,508,Medical,4437135,0.2,Poor,0
1870,194047,Employed,8,723,Travel,339609,0.31,Fair,1
1871,23590,Unemployed,5,307,Home Improvement,1880766,0.1202856177549952,Fair,1
1872,124764,Retired,3,381,Education,3662538,0.7248030647899287,Fair,0
1873,149030,Unemployed,2,784,Home Improvement,1152618,0.4155330662642471,Good,1
1874,36781,Employed,6,519,Home Improvement,920839,0.6437769338332319,Good,0
1875,199381,Employed,5,624,Car Loan,1634214,0.09,Poor,1
1876,66516,Retired,1,769,Business,1841874,0.6548030140131278,Poor,1
1877,136771,Employed,3,633,Debt Consolidation,2267065,0.5216450915604763,Poor,1
1878,16468,Student,7,326,Medical,2780333,0.12,Poor,0
1879,112006,Self-employed,0,413,Education,2417471,0.6993809501326618,Good,1
1880,42154,Retired,0,408,Home Improvement,1676970,0.4431309391017735,Poor,1
1881,195825,Unemployed,7,440,Medical,4893653,0.7212560201740336,Fair,0
1882,95018,Student,9,607,Home Improvement,3734008,0.78,Good,0
1883,126607,Retired,2,479,Car Loan,1000377,0.6093825140040224,Good,1
1884,105669,Employed,2,496,Debt Consolidation,2285961,0.4993421611871551,Good,0
1885,173944,Employed,6,412,Car Loan,4681198,0.3756493194264675,Fair,0
1886,176404,Employed,7,764,Medical,3305098,0.8418677972744627,Good,0
1887,123552,Employed,1,359,Education,3923517,0.1062459802903097,Fair,0
1888,33526,Unemployed,6,641,Home Improvement,1961210,0.2795467938769778,Poor,0
1889,89460,Student,4,530,Debt Consolidation,2568793,0.3568759071387398,Good,1
1890,59860,Self-employed,2,551,Car Loan,168191,0.8454904452930275,Fair,1
1891,25644,Unemployed,2,457,Medical,1286734,0.1319921892529222,Good,1
1892,115795,Unemployed,7,790,Car Loan,3353046,0.1011001837128953,Poor,1
1893,195853,Self-employed,6,699,Home Improvement,3774889,0.6076083140938756,Good,0
1894,135956,Self-employed,4,506,Home Improvement,4833617,0.8,Poor,1
1895,148223,Employed,1,353,Education,373238,0.3545445327347679,Good,0
1896,194139,Unemployed,5,380,Debt Consolidation,529831,0.5235565102195191,Fair,1
1897,191985,Retired,2,329,Business,2053993,0.7299970566438648,Poor,0
1898,65733,Self-employed,8,466,Car Loan,867498,0.2719288509596937,Good,1
1899,156267,Self-employed,7,305,Home Improvement,3824754,0.54,Poor,0
1900,70589,Student,6,844,Medical,1692147,0.412881594794293,Poor,1
1901,192038,Retired,5,564,Car Loan,1308669,0.6291559765109653,Fair,1
1902,177941,Retired,7,537,Education,2857571,0.1752235008415709,Fair,1
1903,122111,Self-employed,0,498,Education,2176050,0.1151130452511801,Fair,1
1904,75649,Employed,7,570,Home Improvement,3651816,0.3695182657955715,Fair,1
1905,63651,Student,6,495,Home Improvement,4167349,0.08,Poor,1
1906,179134,Retired,4,482,Home Improvement,547269,0.47,Poor,0
1907,180639,Self-employed,0,307,Travel,1519702,0.6820972788767045,Good,1
1908,118243,Retired,1,434,Business,3112876,0.3692998234422041,Good,0
1909,80618,Student,3,811,Home Improvement,1326114,0.4,Good,0
1910,69131,Student,5,763,Car Loan,4935201,0.76,Fair,0
1911,163068,Unemployed,1,352,Car Loan,5037168,0.540049172065301,Poor,0
1912,33847,Self-employed,9,393,Travel,1872885,0.1228712848321123,Poor,1
1913,38959,Student,7,687,Travel,3525057,0.43,Good,0
1914,114173,Unemployed,5,605,Debt Consolidation,505326,0.2508612109408179,Good,0
1915,23476,Unemployed,0,784,Medical,3262090,0.6858572642764,Poor,0
1916,206853,Retired,4,609,Home Improvement,3082195,0.3913861929566243,Fair,1
1917,19263,Retired,4,613,Car Loan,2114499,0.33,Good,0
1918,193366,Unemployed,1,628,Travel,269398,0.3617269248842308,Good,0
1919,178705,Retired,3,616,Car Loan,5018518,0.5883762575287336,Poor,0
1920,55653,Student,3,849,Car Loan,3275958,0.3209648223097911,Poor,0
1921,33277,Employed,7,535,Travel,717246,0.5509189708056259,Good,1
1922,17286,Student,6,737,Business,3852148,0.65478035557507,Good,1
1923,99613,Unemployed,3,564,Travel,618002,0.5652455004144068,Fair,1
1924,51062,Unemployed,0,525,Travel,302648,0.0816828222724248,Fair,0
1925,36043,Student,0,786,Medical,608387,0.6843261134727116,Fair,1
1926,90271,Retired,2,542,Travel,4193402,0.13,Fair,1
1927,111843,Retired,8,779,Education,4036294,0.3528501006013715,Good,0
1928,194830,Unemployed,0,454,Travel,4098196,0.13,Good,0
1929,175699,Self-employed,6,850,Car Loan,3562626,0.475334653242904,Good,0
1930,142407,Retired,3,482,Home Improvement,1821139,0.4396349827274084,Fair,0
1931,146217,Student,8,568,Car Loan,1171100,0.6169705911466863,Good,1
1932,72514,Retired,3,335,Medical,2711077,0.17,Poor,1
1933,88115,Student,5,540,Education,3508887,0.706703604474322,Fair,0
1934,182942,Unemployed,1,576,Travel,3867903,0.2394738237932193,Poor,0
1935,103721,Retired,5,707,Business,3973290,0.188661292331589,Fair,1
1936,107021,Student,0,520,Debt Consolidation,4571114,0.4,Good,0
1937,21914,Unemployed,6,454,Travel,2118218,0.594861616377206,Fair,1
1938,44092,Self-employed,1,648,Home Improvement,3477585,0.3336257492925991,Poor,1
1939,175636,Student,7,741,Debt Consolidation,3244107,0.7938276419443744,Fair,0
1940,169703,Self-employed,4,613,Business,4098446,0.5818470663604298,Poor,1
1941,70344,Self-employed,3,342,Medical,2963020,0.1504594307756923,Good,1
1942,81066,Employed,0,520,Medical,1958214,0.134275861287915,Poor,1
1943,16005,Retired,2,701,Business,1358050,0.3061466100297128,Good,1
1944,96602,Student,8,698,Car Loan,1463980,0.767733174061424,Poor,0
1945,158054,Self-employed,9,752,Business,2309026,0.0599545819722728,Good,1
1946,165579,Employed,3,601,Travel,4632623,0.6062727936840034,Poor,1
1947,155143,Unemployed,6,516,Home Improvement,4002787,0.1162266855872483,Good,0
1948,128655,Student,1,515,Education,3031521,0.72,Good,0
1949,63452,Self-employed,1,796,Travel,3072729,0.7654138049043353,Good,1
1950,146557,Retired,0,404,Travel,1793930,0.6389118333488842,Poor,0
1951,50305,Employed,1,379,Travel,3454154,0.090090064353944,Poor,1
1952,68536,Self-employed,2,752,Debt Consolidation,3012964,0.7436957018538706,Good,0
1953,118866,Retired,3,548,Debt Consolidation,1882977,0.4393380145486323,Fair,0
1954,63674,Self-employed,8,810,Medical,1648971,0.7222404552255602,Good,1
1955,55696,Student,5,491,Travel,2683892,0.67,Fair,0
1956,74688,Student,3,464,Car Loan,1354139,0.3953549578323619,Good,1
1957,156839,Student,2,619,Medical,3152703,0.29462366536214,Poor,1
1958,99903,Employed,3,361,Home Improvement,113803,0.4539102668877375,Fair,0
1959,170182,Student,4,334,Business,254075,0.6415246097153757,Poor,0
1960,145062,Retired,4,453,Debt Consolidation,3622956,0.4547566526528396,Fair,0
1961,136689,Self-employed,8,622,Travel,800276,0.1731926913930671,Fair,0
1962,63570,Unemployed,8,485,Home Improvement,815277,0.2914981933557413,Fair,1
1963,158123,Retired,9,759,Medical,211412,0.6474936428526368,Fair,1
1964,32685,Retired,3,592,Medical,1828115,0.7731700528604517,Poor,1
1965,40886,Student,6,495,Debt Consolidation,1291818,0.0680997051329637,Fair,0
1966,178772,Employed,0,420,Medical,1274976,0.1314917160122116,Good,0
1967,121975,Self-employed,8,738,Car Loan,1418846,0.1,Good,0
1968,171256,Employed,2,412,Medical,1998520,0.78,Fair,1
1969,168431,Self-employed,0,486,Education,4098354,0.059455437267838,Poor,1
1970,59185,Self-employed,6,382,Business,1057425,0.5465404288081703,Poor,0
1971,150535,Employed,6,757,Medical,3431875,0.2732924656914415,Fair,0
1972,197531,Retired,0,396,Education,5044776,0.6982280959438633,Poor,0
1973,149889,Self-employed,5,421,Home Improvement,2663036,0.144832949756135,Poor,1
1974,137332,Employed,7,490,Medical,1957293,0.11,Poor,1
1975,184831,Self-employed,7,726,Car Loan,575727,0.32,Fair,0
1976,38511,Unemployed,6,850,Home Improvement,2478414,0.0850433007855164,Good,1
1977,66005,Retired,6,355,Travel,1947934,0.63,Good,1
1978,26066,Student,0,652,Medical,2571955,0.6799194648188954,Good,0
1979,81261,Self-employed,10,582,Debt Consolidation,4143220,0.06002025577546,Good,1
1980,182564,Unemployed,1,565,Education,1193607,0.6607853212371451,Good,1
1981,125084,Student,4,406,Education,1819318,0.61,Poor,0
1982,65599,Student,9,529,Debt Consolidation,3049093,0.25,Poor,0
1983,86185,Self-employed,7,452,Business,3289969,0.55,Poor,0
1984,23175,Employed,8,696,Travel,1324360,0.5469703527241085,Fair,1
1985,80776,Self-employed,7,686,Car Loan,2203907,0.11,Poor,1
1986,196709,Unemployed,9,575,Education,1680592,0.8273843454615827,Good,0
1987,66875,Student,5,457,Home Improvement,4646539,0.7267768817393102,Poor,0
1988,16013,Self-employed,4,804,Car Loan,1573415,0.8131350441128813,Good,0
1989,208217,Employed,6,337,Education,269090,0.5744724301682225,Poor,1
1990,86117,Self-employed,4,405,Travel,4574699,0.53,Good,1
1991,97189,Retired,2,394,Business,407000,0.7,Poor,0
1992,59563,Employed,1,743,Travel,1757442,0.282284846666916,Good,0
1993,160486,Unemployed,5,584,Home Improvement,102942,0.7974906027693893,Good,1
1994,185354,Student,6,366,Travel,645158,0.71,Fair,0
1995,51390,Self-employed,10,552,Car Loan,1700714,0.0717854715311297,Poor,0
1996,149695,Employed,1,714,Home Improvement,1850414,0.1671721296674267,Good,0
1997,66235,Retired,7,838,Debt Consolidation,5073047,0.2459426244347521,Poor,1
1998,27341,Employed,3,629,Medical,1914432,0.635166810895415,Good,1
1999,107601,Retired,1,455,Debt Consolidation,4951683,0.35,Fair,1
2000,67374,Unemployed,0,640,Car Loan,5051478,0.3221595747840822,Fair,0
2001,121780,Student,3,568,Medical,4227047,0.2914767709788469,Fair,1
2002,26002,Unemployed,6,631,Debt Consolidation,3977406,0.21,Fair,1
2003,196589,Self-employed,4,394,Medical,934671,0.59,Good,1
2004,178648,Employed,4,596,Education,1617793,0.5918143882243173,Poor,1
2005,76244,Retired,8,661,Travel,2107793,0.4261164859971904,Fair,1
2006,183937,Retired,1,415,Home Improvement,3317020,0.6398214313276864,Fair,1
2007,166742,Employed,3,850,Medical,4744047,0.4099379398689537,Fair,1
2008,94544,Employed,6,671,Education,3053145,0.6102097126477449,Poor,1
2009,186123,Self-employed,4,463,Travel,3386465,0.4577392001204113,Good,1
2010,157038,Unemployed,5,820,Travel,905681,0.46,Good,1
2011,64903,Retired,0,539,Business,4001519,0.5152975122290562,Good,1
2012,108396,Self-employed,5,704,Debt Consolidation,782442,0.69,Good,0
2013,95364,Unemployed,7,527,Business,612190,0.5313578326136581,Poor,1
2014,156053,Self-employed,3,643,Car Loan,517632,0.5036272580821252,Poor,0
2015,195410,Retired,5,317,Education,2846806,0.1195645723107145,Poor,1
2016,50827,Employed,8,319,Business,3125712,0.5589359476419385,Fair,1
2017,119784,Employed,0,793,Business,2704336,0.4846508656074906,Poor,1
2018,128842,Unemployed,3,781,Travel,2658082,0.6175104333729703,Good,0
2019,40478,Student,6,701,Education,3892807,0.2077195997768028,Poor,1
2020,166763,Unemployed,5,716,Travel,4843261,0.5012567423996485,Fair,0
2021,182459,Student,3,426,Home Improvement,1140728,0.3350041739834308,Good,1
2022,177849,Self-employed,3,352,Medical,4576181,0.0814201218638497,Poor,0
2023,20508,Self-employed,1,517,Car Loan,3542787,0.5691272266396403,Good,0
2024,53411,Retired,4,781,Car Loan,4033635,0.6910545722921742,Good,1
2025,35537,Student,2,781,Debt Consolidation,2263400,0.7235953562014825,Poor,1
2026,65427,Retired,7,645,Travel,2450786,0.5991707166256285,Poor,1
2027,34611,Employed,6,349,Medical,1250692,0.62,Fair,0
2028,33959,Student,8,647,Debt Consolidation,4829017,0.5875346906413376,Poor,0
2029,128903,Unemployed,7,748,Car Loan,1104364,0.38,Poor,1
2030,96845,Employed,4,824,Medical,3195412,0.58,Poor,0
2031,78097,Employed,8,758,Business,3819082,0.7683008914916991,Good,1
2032,86895,Unemployed,7,601,Home Improvement,3093258,0.7154891191996693,Fair,1
2033,106155,Employed,0,315,Business,4154891,0.36,Good,1
2034,108493,Student,5,360,Home Improvement,1265237,0.4435380343718433,Poor,1
2035,114901,Retired,4,560,Travel,4327871,0.6007405983926172,Fair,0
2036,144881,Employed,2,312,Education,384296,0.0813789773702118,Poor,1
2037,95743,Student,9,463,Debt Consolidation,1103514,0.3421551324835765,Good,1
2038,163194,Self-employed,4,383,Debt Consolidation,812968,0.656153728820207,Good,1
2039,36701,Student,6,576,Education,1220214,0.5053072818859197,Poor,1
2040,20247,Retired,5,385,Medical,2375823,0.2074585501651689,Fair,0
2041,94648,Student,6,779,Education,473961,0.2680123390198581,Good,1
2042,191743,Unemployed,6,476,Travel,3456765,0.62,Poor,0
2043,39304,Retired,1,476,Car Loan,3869053,0.2474682526052266,Poor,1
2044,54272,Self-employed,4,423,Education,182449,0.4538244144538977,Poor,0
2045,179861,Unemployed,1,431,Home Improvement,2457646,0.6395731891960978,Fair,1
2046,85679,Student,3,803,Car Loan,3994909,0.3762193212099659,Poor,0
2047,82689,Retired,4,431,Education,3670244,0.4292469605459574,Poor,0
2048,166865,Self-employed,7,494,Debt Consolidation,1012748,0.7145655482866762,Good,0
2049,27386,Unemployed,9,350,Business,3771707,0.4332239433173196,Poor,0
2050,59131,Self-employed,2,618,Home Improvement,2395768,0.4801711240651845,Fair,1
2051,95077,Student,9,478,Travel,3088946,0.0914484041254493,Poor,1
2052,24901,Self-employed,6,662,Home Improvement,3898422,0.2084687567731483,Fair,1
2053,42944,Employed,2,600,Medical,1427620,0.8022102185960988,Poor,0
2054,174871,Unemployed,8,363,Business,2409223,0.2136097586516659,Poor,1
2055,186880,Self-employed,4,850,Home Improvement,839472,0.4585663729240339,Poor,1
2056,75354,Student,6,341,Education,3190310,0.4178988213072853,Fair,0
2057,112832,Student,6,337,Home Improvement,2673168,0.8154233402327344,Good,0
2058,158250,Self-employed,6,503,Home Improvement,4610725,0.08,Fair,0
2059,113343,Student,1,354,Home Improvement,3779196,0.0819856449243517,Good,0
2060,136223,Retired,3,792,Medical,2505007,0.6082315474466471,Fair,0
2061,127743,Retired,9,316,Home Improvement,2365528,0.62,Poor,1
2062,30861,Retired,8,537,Home Improvement,4645542,0.5513361693701346,Poor,0
2063,164589,Employed,0,367,Medical,4379020,0.3760120436546276,Good,1
2064,90526,Self-employed,9,556,Car Loan,2115937,0.4071538974214877,Good,0
2065,51056,Employed,2,443,Business,2763747,0.7098474676044255,Fair,1
2066,142912,Student,5,719,Travel,3901741,0.7626548631895063,Fair,1
2067,19851,Employed,1,447,Car Loan,4809937,0.1682384015599865,Good,1
2068,123042,Student,9,595,Debt Consolidation,815264,0.76,Good,0
2069,90969,Student,3,401,Medical,2768691,0.66,Fair,1
2070,15717,Unemployed,1,782,Medical,2368486,0.59,Good,1
2071,187687,Retired,1,309,Home Improvement,1725768,0.46,Good,1
2072,151384,Student,1,702,Home Improvement,2828393,0.6250265188235324,Good,0
2073,22916,Unemployed,9,463,Travel,178526,0.4660883430227816,Good,0
2074,172533,Retired,5,768,Debt Consolidation,3671875,0.5751637953624096,Poor,1
2075,79218,Student,7,596,Home Improvement,929943,0.4484559243592163,Poor,1
2076,71989,Student,3,720,Education,1964820,0.3875323357888929,Good,0
2077,64708,Employed,10,648,Home Improvement,4613812,0.0699049295985937,Fair,1
2078,179541,Employed,7,518,Home Improvement,2913148,0.6410325012645729,Poor,1
2079,71707,Retired,6,401,Education,2043031,0.4492735263850304,Fair,0
2080,185639,Student,3,524,Debt Consolidation,2285570,0.76,Fair,1
2081,176183,Self-employed,2,815,Education,1265546,0.62,Poor,1
2082,35163,Employed,8,454,Medical,1846788,0.7328093568883172,Fair,0
2083,106561,Retired,6,326,Education,1035847,0.195165903051858,Fair,1
2084,152924,Student,6,842,Business,1610375,0.05,Good,1
2085,112945,Student,2,488,Medical,265733,0.08,Good,1
2086,169697,Self-employed,4,533,Home Improvement,3215450,0.54,Good,0
2087,98743,Retired,8,452,Travel,2712093,0.5444500112131031,Poor,0
2088,46141,Student,9,613,Medical,1753327,0.0750361118008302,Good,0
2089,92219,Employed,2,326,Debt Consolidation,1063585,0.278489503979812,Fair,1
2090,121291,Self-employed,1,750,Debt Consolidation,645785,0.3590188203066072,Fair,1
2091,39918,Retired,7,489,Education,4709274,0.3862643262572414,Fair,1
2092,27905,Self-employed,8,389,Medical,87558,0.55,Fair,0
2093,73914,Employed,8,428,Home Improvement,128447,0.6702387848192994,Fair,1
2094,27227,Retired,9,326,Debt Consolidation,3966087,0.4269905749897899,Poor,0
2095,146632,Self-employed,9,418,Car Loan,4322810,0.64,Fair,0
2096,107051,Unemployed,1,500,Home Improvement,1360886,0.18,Poor,1
2097,168961,Employed,1,500,Car Loan,1253639,0.6304662337114716,Fair,1
2098,22151,Employed,1,470,Business,4820369,0.42,Poor,0
2099,188609,Employed,1,524,Car Loan,2844641,0.700923383124847,Poor,1
2100,200322,Unemployed,6,675,Debt Consolidation,4644543,0.4397036437953235,Fair,1
2101,98201,Unemployed,0,497,Education,4301399,0.4162137006415791,Fair,0
2102,79093,Student,9,814,Business,4677656,0.19,Fair,0
2103,92910,Self-employed,7,700,Medical,1963831,0.4393138945924058,Fair,0
2104,173102,Student,6,513,Home Improvement,1789187,0.283915191385677,Good,1
2105,53035,Self-employed,8,306,Debt Consolidation,296995,0.2536769501044121,Good,0
2106,34619,Unemployed,6,344,Business,1189823,0.6047736995068757,Poor,0
2107,67797,Unemployed,1,558,Business,955894,0.28,Poor,0
2108,140710,Student,2,502,Debt Consolidation,3613570,0.5724499225088884,Good,1
2109,33575,Retired,3,560,Medical,5120459,0.6669389621060647,Poor,0
2110,185728,Student,1,407,Medical,1965787,0.6545085012479201,Fair,0
2111,22334,Self-employed,4,563,Education,1559476,0.6720848488111044,Poor,0
2112,23057,Student,0,850,Travel,2837871,0.660531393594281,Poor,0
2113,185091,Employed,9,559,Car Loan,4904167,0.79,Poor,1
2114,171255,Self-employed,1,689,Medical,4872781,0.7546318419223184,Good,1
2115,104766,Self-employed,0,463,Education,1873426,0.27,Good,1
2116,152126,Retired,1,618,Car Loan,1417041,0.5290686448036981,Poor,1
2117,76529,Unemployed,8,663,Business,2234668,0.41,Fair,1
2118,186635,Self-employed,6,671,Debt Consolidation,3551201,0.6,Poor,0
2119,75098,Unemployed,0,750,Medical,1202718,0.5385232501185874,Good,0
2120,135396,Student,0,804,Education,4487064,0.7573290076706053,Fair,0
2121,85305,Employed,4,630,Business,2281419,0.59,Poor,1
2122,111115,Retired,9,427,Medical,3908044,0.4667479895327596,Good,1
2123,76260,Unemployed,0,748,Home Improvement,76289,0.167699090089883,Fair,0
2124,157725,Self-employed,5,582,Travel,101963,0.7409767315844028,Poor,1
2125,165882,Unemployed,6,850,Business,3687075,0.4835517587385503,Good,0
2126,202289,Self-employed,2,502,Medical,2413809,0.7741085269051763,Fair,1
2127,133526,Unemployed,8,712,Business,3622427,0.5933866316550785,Poor,0
2128,112169,Self-employed,4,539,Debt Consolidation,3377642,0.326278646106977,Fair,1
2129,142809,Student,4,413,Debt Consolidation,4255103,0.6879201035333882,Fair,0
2130,65940,Self-employed,5,317,Travel,1442183,0.75,Fair,0
2131,173501,Self-employed,3,644,Debt Consolidation,2140797,0.6758749973723902,Good,1
2132,37520,Employed,0,508,Car Loan,3791521,0.169551362755942,Poor,1
2133,169458,Self-employed,4,719,Home Improvement,4682964,0.77,Fair,1
2134,157422,Employed,4,435,Debt Consolidation,3721831,0.5075524829106244,Fair,0
2135,80901,Retired,7,381,Home Improvement,262780,0.47,Fair,0
2136,65758,Employed,3,725,Debt Consolidation,1670007,0.6869818595715423,Good,0
2137,117008,Student,1,377,Car Loan,3753332,0.1171014425363141,Fair,0
2138,199072,Employed,5,496,Business,2803027,0.4247670852267926,Good,1
2139,166367,Retired,5,578,Medical,853627,0.1099046923557385,Good,1
2140,147822,Student,1,794,Medical,156057,0.3170090854545765,Fair,0
2141,84353,Unemployed,6,372,Debt Consolidation,601382,0.2827954905059371,Fair,1
2142,158745,Unemployed,2,649,Medical,2879453,0.2892150936273384,Good,0
2143,152019,Employed,10,422,Debt Consolidation,3383132,0.3654040972117065,Good,0
2144,107087,Employed,6,543,Debt Consolidation,56248,0.5552081501520209,Fair,0
2145,147498,Retired,3,523,Travel,4247426,0.6686079918893852,Good,1
2146,25304,Retired,4,764,Education,94868,0.27,Good,1
2147,76957,Self-employed,8,503,Education,2175769,0.6,Fair,0
2148,182063,Retired,10,416,Travel,1844617,0.5647820762603442,Fair,1
2149,84956,Self-employed,6,811,Education,1984186,0.6269410849032198,Poor,0
2150,80708,Student,7,850,Home Improvement,3498081,0.3286362049203307,Fair,1
2151,65138,Employed,5,742,Education,4878030,0.78,Fair,1
2152,30178,Student,5,791,Debt Consolidation,2303260,0.3657877991696267,Fair,0
2153,104659,Retired,8,372,Car Loan,2328370,0.2342701242758863,Poor,1
2154,87373,Student,9,369,Car Loan,1623626,0.7599079420476208,Good,0
2155,161370,Student,7,531,Business,4162717,0.0628443461713905,Fair,1
2156,66672,Student,4,515,Education,1785985,0.4077900600690681,Fair,1
2157,167490,Retired,3,552,Car Loan,3953996,0.5113445215377014,Poor,0
2158,72670,Student,9,592,Education,4519205,0.4256684916735722,Poor,0
2159,137231,Self-employed,8,510,Business,1024233,0.6068061260774328,Poor,1
2160,71060,Retired,2,557,Car Loan,187573,0.823583677248474,Good,1
2161,24434,Student,1,551,Debt Consolidation,3208630,0.6067820445252896,Poor,0
2162,60260,Retired,5,514,Home Improvement,2035343,0.3513924635939762,Good,0
2163,138645,Unemployed,3,656,Travel,2776328,0.5570661559208078,Fair,1
